contactId,agentId,callDate,transcript
contact-001,agent-42,2024-03-15,"Customer called about billing discrepancy on invoice #8821. Agent reviewed the account, identified a duplicate charge from March 3rd, issued a credit of $45.00, and confirmed resolution. Customer satisfied."
contact-002,agent-17,2024-03-15,"Customer inquired about upgrading their service plan. Agent explained the Premium tier benefits, compared pricing, and processed the upgrade. Customer asked for confirmation email. Agent confirmed it would arrive within 24 hours."
contact-003,agent-42,2024-03-15,"Customer reported their account was locked after multiple failed login attempts. Agent verified identity via security questions, reset the password, and walked customer through the new login flow. Resolved on first contact."
contact-004,agent-09,2024-03-16,"Customer called to cancel service citing price concerns. Agent offered a 20% loyalty discount for 6 months. Customer accepted and did not cancel. Potential churn averted."
contact-005,agent-17,2024-03-16,"Customer complained about a technician who arrived 2 hours late for a scheduled appointment. Agent apologized, issued a $25 service credit, and escalated to the field operations team for follow-up. Customer remains dissatisfied."
contact-006,agent-33,2024-03-16,"Customer asked about international roaming rates for an upcoming trip to Japan. Agent provided the current international plan options, recommended the Global Day Pass, and helped the customer add it to their account."
contact-007,agent-09,2024-03-17,"Customer was confused about how to use the mobile app for bill payment. Agent walked through the steps via phone, confirmed the customer successfully made a payment, and offered to send a tutorial link by email."
contact-008,agent-42,2024-03-17,"Customer called regarding a service outage affecting their area since this morning. Agent checked the outage tracker, confirmed a known issue with ETA of 3pm, provided a $10 outage credit, and advised the customer to call back if service is not restored by 4pm."
contact-009,agent-33,2024-03-17,"Customer requested a copy of their last 12 months of invoices for tax purposes. Agent confirmed identity, processed the request, and informed the customer the PDF bundle would be emailed within 2 business days."
contact-001,agent-55,2024-03-18,"Duplicate contact ID — same contactId as row 1. Used to test idempotency: re-processing this row must overwrite the existing ES document, not create a second one."
contact-010,agent-17,2024-03-18,"Cüstomer called réporting a ünexpected chârge. Trânscript contâins Ünïcödé châracters tö tëst encodïng hàndlïng in CSV pârsing and ES indexïng. Agent resolved the issue and issued a refund."
contact-011,agent-09,2024-03-18,"Customer escalated to supervisor after agent was unable to process a complex multi-account merge request. Supervisor confirmed the request requires a manual back-office ticket. Agent opened ticket REF-2041 and provided 5-7 business day ETA. Customer frustrated but acknowledged next steps."
